start, end, dbtime1, dbtime2, dbtime3, dbtime4, dbtime5
1643315396493, 1643315405164, 811, 0, 279, 5608, 95
1643315397310, 1643315412356, 2121, 0, 374, 10783, 97
1643315398109, 1643315408954, 4856, 0, 162, 3801, 85
1643315398919, 1643315408953, 4275, 0, 348, 3416, 86
1643315399708, 1643315403681, 305, 0, 118, 1668, 68
1643315400506, 1643315404747, 351, 0, 135, 1925, 13
1643315401311, 1643315406838, 160, 0, 154, 3340, 13
1643315402111, 1643315408866, 386, 0, 156, 4199, 133
1643315402911, 1643315411536, 1400, 0, 229, 4926, 224
1643315403705, 1643315415290, 1162, 0, 215, 6767, 1682
1643315405007, 1643315415220, 742, 0, 134, 7531, 88
1643315405313, 1643315415091, 1061, 0, 322, 6523, 42
1643315406115, 1643315415220, 1136, 0, 373, 5722, 88
1643315406914, 1643315415220, 259, 0, 341, 5810, 87
1643315407721, 1643315416600, 2502, 0, 220, 4244, 113
1643315408525, 1643315416616, 715, 0, 402, 5082, 16
1643315409333, 1643315418240, 2362, 0, 492, 4310, 28
1643315410136, 1643315426486, 3961, 0, 165, 10191, 61
1643315410932, 1643315418237, 1089, 0, 270, 4087, 25
1643315411726, 1643315418210, 295, 0, 310, 4022, 141
1643315412520, 1643315426487, 3203, 0, 168, 8684, 62
1643315413322, 1643315429190, 2617, 0, 258, 8047, 3181
1643315414134, 1643315429190, 2110, 0, 445, 7434, 3182
1643315414932, 1643315426668, 1007, 0, 231, 8457, 308
1643315415722, 1643315429111, 1213, 0, 362, 6779, 3145
1643315416540, 1643315429111, 466, 0, 303, 6874, 3102
1643315417343, 1643315431418, 2144, 0, 1717, 8362, 31
1643315418137, 1643315430102, 354, 0, 972, 8773, 31
1643315418928, 1643315430037, 837, 0, 1357, 6865, 118
1643315419734, 1643315429971, 3546, 0, 1005, 3785, 85
1643315420552, 1643315429804, 3662, 0, 189, 3131, 436
1643315421345, 1643315433183, 1990, 0, 392, 7541, 35
1643315422145, 1643315430101, 1099, 0, 211, 4840, 31
1643315422946, 1643315433218, 1446, 0, 98, 6920, 10
1643315423748, 1643315433223, 830, 0, 326, 6309, 13
1643315424547, 1643315433221, 497, 0, 233, 6132, 12
1643315425356, 1643315434757, 283, 0, 150, 7014, 157
1643315426155, 1643315438833, 569, 0, 525, 7385, 2298
1643315426949, 1643315437124, 3936, 0, 143, 4073, 84
1643315427757, 1643315438625, 5569, 0, 259, 3133, 42
1643315428553, 1643315438760, 4865, 0, 149, 3444, 36
1643315429351, 1643315434924, 263, 0, 395, 2900, 167
1643315430162, 1643315437011, 2022, 0, 299, 2687, 54
1643315430957, 1643315437195, 617, 0, 110, 3250, 592
1643315431759, 1643315441244, 493, 0, 220, 6901, 58
1643315432559, 1643315441244, 723, 0, 149, 5883, 58
1643315433357, 1643315437361, 238, 0, 200, 1710, 36
1643315434164, 1643315441278, 126, 0, 287, 4767, 13
1643315434960, 1643315441087, 517, 0, 219, 3497, 24
1643315435764, 1643315443701, 2153, 0, 265, 2313, 1361
1643315436566, 1643315453406, 2375, 0, 337, 9796, 2616
1643315437370, 1643315443701, 397, 0, 283, 2266, 1446
1643315438159, 1643315451066, 3828, 0, 269, 4476, 2441
1643315438980, 1643315443019, 427, 0, 119, 1372, 27
1643315439781, 1643315446749, 509, 0, 307, 2585, 1790
1643315440578, 1643315445867, 255, 0, 207, 2799, 135
1643315441369, 1643315449308, 222, 0, 126, 4398, 1387
1643315442174, 1643315451321, 1456, 0, 229, 5603, 12
1643315442972, 1643315449270, 211, 0, 226, 3932, 53
1643315443775, 1643315451261, 322, 0, 267, 4975, 62
1643315444584, 1643315454447, 2271, 0, 408, 5452, 14
1643315445393, 1643315451260, 684, 0, 130, 3255, 61
1643315446188, 1643315454056, 408, 0, 420, 5225, 49
1643315446985, 1643315454200, 343, 0, 434, 4468, 63
1643315447793, 1643315456671, 2213, 0, 236, 3380, 1222
1643315448598, 1643315459673, 2266, 0, 349, 3557, 3100
1643315449389, 1643315459545, 1125, 0, 494, 6640, 14
1643315450201, 1643315459671, 1460, 0, 241, 3786, 2060
1643315451001, 1643315464087, 2549, 0, 167, 7526, 1053
1643315451790, 1643315456230, 478, 0, 165, 1906, 13
1643315452598, 1643315462606, 92, 0, 177, 5268, 2816
1643315453393, 1643315464087, 241, 0, 133, 7459, 1086
1643315454200, 1643315464086, 413, 0, 235, 6426, 1052
